'Symptom 1','Symptom 2','Symptom 3','Symptom 4','Symptom 5','Symptom 6','Symptom 7','Symptom 8','Symptom 9','Symptom 10','Symptom 11','Symptom 12','Symptom 13','Symptom 14','Symptom 15','Symptom 16','Symptom 17',Disease
' joint_pain',' neck_pain',' knee_pain',' hip_joint_pain',' swelling_joints',' painful_walking',0,0,0,0,0,0,0,0,0,0,0,Osteoarthristis
' vomiting',' indigestion',' loss_of_appetite',' abdominal_pain',' passage_of_gases',' internal_itching',0,0,0,0,0,0,0,0,0,0,0,'Peptic ulcer diseae'
itching,' fatigue',' lethargy',' yellowish_skin',' dark_urine',' loss_of_appetite',' abdominal_pain',' yellow_urine',' yellowing_of_eyes',' malaise',' receiving_blood_transfusion',' receiving_unsterile_injections',0,0,0,0,0,'Hepatitis B'
' headache',' chest_pain',' dizziness',' loss_of_balance',' lack_of_concentration',0,0,0,0,0,0,0,0,0,0,0,0,'Hypertension '
' stomach_pain',' acidity',' vomiting',' cough',' chest_pain',0,0,0,0,0,0,0,0,0,0,0,0,GERD
itching,' skin_rash',' stomach_pain',' burning_micturition',' spotting_ urination',0,0,0,0,0,0,0,0,0,0,0,0,'Drug Reaction'
' skin_rash',' nodal_skin_eruptions',' dischromic _patches',0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Fungal infection'
' vomiting',' headache',' weakness_of_one_body_side',' altered_sensorium',0,0,0,0,0,0,0,0,0,0,0,0,0,'Paralysis (brain hemorrhage)'
' back_pain',' weakness_in_limbs',' neck_pain',' dizziness',' loss_of_balance',0,0,0,0,0,0,0,0,0,0,0,0,'Cervical spondylosis'
' vomiting',' indigestion',' loss_of_appetite',' abdominal_pain',' passage_of_gases',' internal_itching',0,0,0,0,0,0,0,0,0,0,0,'Peptic ulcer diseae'
' vomiting',' headache',' spinning_movements',' loss_of_balance',' unsteadiness',0,0,0,0,0,0,0,0,0,0,0,0,'(vertigo) Paroymsal  Positional Vertigo'
' joint_pain',' fatigue',' high_fever',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',' acute_liver_failure',' coma',' stomach_bleeding',0,0,0,0,0,'Hepatitis E'
' vomiting',' indigestion',' loss_of_appetite',' abdominal_pain',' passage_of_gases',' internal_itching',0,0,0,0,0,0,0,0,0,0,0,'Peptic ulcer diseae'
' vomiting',' indigestion',' loss_of_appetite',' abdominal_pain',' passage_of_gases',' internal_itching',0,0,0,0,0,0,0,0,0,0,0,'Peptic ulcer diseae'
' joint_pain',' vomiting',' fatigue',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',0,0,0,0,0,0,0,0,0,'Hepatitis D'
' continuous_sneezing',' chills',' fatigue',' cough',' high_fever',' headache',' swelled_lymph_nodes',' malaise',' phlegm',' throat_irritation',' redness_of_eyes',' sinus_pressure',' runny_nose',' congestion',' chest_pain',' loss_of_smell',' muscle_pain','Common Cold'
' headache',' dizziness',' loss_of_balance',' lack_of_concentration',0,0,0,0,0,0,0,0,0,0,0,0,0,'Hypertension '
' fatigue',' yellowish_skin',' nausea',' loss_of_appetite',' yellowing_of_eyes',' family_history',0,0,0,0,0,0,0,0,0,0,0,'Hepatitis C'
' sunken_eyes',' dehydration',' diarrhoea',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gastroenteritis
' fatigue',' weight_loss',' restlessness',' lethargy',' irregular_sugar_level',' blurred_and_distorted_vision',' obesity',' excessive_hunger',' increased_appetite',' polyuria',0,0,0,0,0,0,0,'Diabetes '
